# term	meaning	sbvrReading  (TSV; '#' line = comment)
owl:Ontology	The container for a set of axioms, declarations, and annotations under a single document/IRI — the named unit holding all class/property/individual statements plus metadata (version, imports).	Header of an SBVR vocabulary: "Vocabulary: Pizza Ontology (version 2.0)." Names the whole rule/term set rather than producing a per-fact sentence.
owl:imports	Declares the current ontology depends on and incorporates all axioms of another ontology by IRI; imported axioms are treated as part of the importing ontology for reasoning. (Distinct from owl:versionIRI; import is by ontology-IRI document retrieval.)	"This vocabulary includes the FOAF Vocabulary." Every imported term and rule becomes available here.
owl:Class	A named category whose instances are individuals sharing some property; denotes a set of individuals — introduces a general concept (a type) into the vocabulary.	Declares a general noun concept: "Pizza is a general concept." (An owl:Class becomes an object type / general concept.)
rdfs:subClassOf	Asserts every instance of the subclass is necessarily also an instance of the superclass — a one-directional "is-a-kind-of" inclusion; does not imply the reverse.	"Each Margherita is a Pizza."
owl:equivalentClass	Asserts two class expressions have exactly the same instances in every interpretation — mutual subclassing; membership in one is necessary and sufficient for the other.	Definitional rule: "A Vegetarian Pizza is by definition a Pizza that has only vegetarian toppings."
owl:disjointWith	Asserts two class expressions (not necessarily named atomic classes) share no individuals: nothing can be an instance of both at once — a pairwise mutual-exclusion statement between the two operands of a single axiom.	"No Pizza is a Pizza Base."
owl:AllDisjointClasses	A single axiom stating all classes in a list (given via owl:members, which may contain arbitrary class expressions) are pairwise mutually exclusive — no individual belongs to more than one. Compactly expresses disjointness across many at once.	"No Margherita is an American, no Margherita is a Soho, and no American is a Soho."
owl:ObjectProperty	A relationship linking one individual to another individual; its values are objects (individuals), not literals — a binary relation between members of classes.	Fact type linking two things: "Each Pizza has some Topping."
owl:DatatypeProperty	A relationship linking an individual to a data value (a literal — string, number, date); values come from a datatype rather than being individuals.	Attribute-style fact type: "Each Pizza has at most one price (a decimal)."
owl:AnnotationProperty	A property attaching human-readable or bookkeeping metadata (labels, comments, provenance) to entities. Annotations carry no logical/inferential consequences for the OWL semantics (they do not affect entailment), though tools still read and present them.	Non-normative note: rdfs:label "Margherita" supplies the human term; rdfs:comment "Named after Queen Margherita" is a Note attached to the concept, not a rule.
rdfs:domain	States any individual that is the subject of the property must belong to the named class — constrains what can have the relationship and lets a reasoner infer the subject's type.	"Anything that has a topping is a Pizza."
rdfs:range	States any value that is the object of the property must belong to the named class or datatype — constrains what the relationship can point to and lets a reasoner infer the value's type.	"Anything that is a topping of something is a Topping."
rdfs:subPropertyOf	Asserts that whenever the subproperty relates two things, the superproperty relates them too — a one-directional inclusion between relations.	"That a thing has a spicy topping implies that the thing has a topping."
owl:inverseOf	States two properties are reverses: if the first relates A to B, the second relates B to A, and vice versa — the two directions kept synchronized.	"That a Pizza has a Topping means that the Topping is a topping of the Pizza."
owl:FunctionalProperty	Asserts each individual is linked to at most one value through this property; two such values must be the same individual (or the data values equal). (OWL 2 DL caveat: functional/inverse-functional object properties may not be composite or transitive.)	"Each Pizza has at most one base."
owl:InverseFunctionalProperty	Asserts each value is linked from at most one individual — the value uniquely identifies its subject (acts like a key); two individuals sharing the value must be the same.	"Each social security number is the social security number of at most one Person."
owl:TransitiveProperty	Asserts the relation chains: if A relates to B and B to C, then A relates to C — carries through intermediate steps automatically.	"If a region is part of a second region and that second is part of a third, then the first is part of the third."
owl:SymmetricProperty	Asserts the relation holds both ways: if A relates to B, then B relates to A — the property is its own inverse.	"If a Person is married to a second Person, then the second is married to the first."
owl:AsymmetricProperty	Asserts the relation can never hold both ways: if A relates to B, then B cannot relate to A — the strict opposite of symmetric.	"If a Person is a parent of a second Person, then the second is not a parent of the first."
owl:ReflexiveProperty	Asserts every individual is related to itself by this property — holds between a thing and itself over the whole domain.	"Each Thing knows itself."
owl:IrreflexiveProperty	Asserts no individual is ever related to itself by this property — can never hold between a thing and itself.	"No Person is a parent of himself or herself."
owl:someValuesFrom	The class of individuals having at least one value of a property in a specified class — requires the existence of some related thing of the right kind (not that all are).	"Each Margherita has at least one topping that is a Mozzarella Topping."
owl:allValuesFrom	The class of individuals all of whose values for a property fall in a specified class — constrains every related value, but does not require any exist.	"Each Vegetarian Pizza has only toppings that are Vegetarian Toppings."
owl:minCardinality	(Unqualified) the class of individuals having at least N distinct values for a property, regardless of those values' type — a lower bound on how many times the relationship must hold.	"Each Pizza has at least two toppings."
owl:maxCardinality	(Unqualified, no type filter) the class of individuals having at most N distinct values for a property — an upper bound.	"Each Pizza has at most four toppings."
owl:cardinality	(Unqualified, no type filter) the class of individuals having exactly N distinct values for a property — fixes the count precisely (both min and max).	"Each Pizza has exactly one base."
owl:qualifiedCardinality	A cardinality restriction also constraining the type of counted values: individuals having exactly N values of a property that belong to a class (via owl:onClass) or datatype. Qualified min/max variants exist.	"Each Quattro Formaggi has exactly four toppings that are Cheese Toppings."
owl:hasValue	The class of individuals related by a property to one specific named individual or data value — the target is a particular value, not a class.	"Each Italian Pizza has the country of origin Italy."
owl:oneOf (class-expression constructor)	Defines a class by exhaustively listing its members — the class consists of exactly the named individuals and nothing else (a closed enumeration).	"A Spice Level is one of: Mild, Medium, Hot."
owl:intersectionOf (class-expression constructor)	A class of individuals belonging to all listed class expressions simultaneously — logical conjunction (AND) over classes.	"A Vegetarian Pizza is a Pizza that has only vegetarian toppings."
owl:unionOf (class-expression constructor)	A class of individuals belonging to at least one of the listed class expressions — logical disjunction (OR).	"A Cheesy Topping is a Mozzarella Topping or a Parmesan Topping or a Gorgonzola Topping."
owl:complementOf (class-expression constructor)	A class of all individuals NOT members of the given class — logical negation relative to the universe of all things.	"A Non-Vegetarian Pizza is a thing that is not a Vegetarian Pizza."
owl:NamedIndividual	A specific, named member of the domain — a concrete thing (not a class or property) identified by an IRI; an instance that can belong to classes and participate in property relationships.	Individual concept / instance: "Italy is a Country."
owl:sameAs	Asserts two individual names refer to the very same individual — anything true of one is true of the other.	"The individual Italia is the same individual as Italy."
owl:differentFrom	Asserts two individual names refer to distinct individuals — guaranteed not the same thing; blocks a reasoner from merging them.	"The individual Italy is a different individual from France."
owl:Thing (built-in class)	The universal (top) class containing every individual in the domain; every class is implicitly a subclass of it and every individual an instance.	"Everything is a Thing." Used as the unrestricted concept.
owl:Nothing (built-in class)	The empty (bottom) class containing no individuals; every class implicitly has it as a subclass — a class inferred equivalent to it is unsatisfiable.	"Nothing is a member of Nothing." An inferred "Each Vegan Meat Pizza is Nothing" means that concept is contradictory.
